step,operation,incr_ns,full_ns,n_active,incr_ari
182,insert,1625,-1,482,-2.0
183,insert,750,-1,483,-2.0
184,insert,542,-1,484,-2.0
185,insert,708,-1,485,-2.0
186,insert,1250,-1,486,-2.0
187,insert,1125,-1,487,-2.0
188,insert,1167,-1,488,-2.0
189,insert,1125,-1,489,-2.0
190,insert,1334,-1,490,-2.0
191,insert,1250,-1,491,-2.0
192,insert,1125,-1,492,-2.0
193,insert,1000,-1,493,-2.0
194,insert,1291,-1,494,-2.0
195,insert,1209,-1,495,-2.0
196,insert,1000,-1,496,-2.0
197,insert,792,-1,497,-2.0
198,insert,625,-1,498,-2.0
199,insert,416,-1,499,-2.0
200,insert,1125,-1,500,-2.0
201,insert,667,-1,501,-2.0
202,insert,750,-1,502,-2.0
203,insert,709,-1,503,-2.0
204,insert,583,-1,504,-2.0
205,insert,1000,-1,505,-2.0
206,insert,1875,-1,506,-2.0
207,insert,1208,-1,507,-2.0
208,insert,1834,-1,508,-2.0
209,insert,2416,-1,509,-2.0
210,insert,1542,-1,510,-2.0
211,insert,1125,-1,511,-2.0
212,insert,333,-1,512,-2.0
213,insert,2750,-1,513,-2.0
214,insert,833,-1,514,-2.0
215,insert,1750,-1,515,-2.0
216,insert,959,-1,516,-2.0
217,insert,1791,-1,517,-2.0
218,insert,791,-1,518,-2.0
219,insert,1417,-1,519,-2.0
220,insert,834,-1,520,-2.0
221,insert,1542,-1,521,-2.0
222,insert,750,-1,522,-2.0
223,insert,1209,-1,523,-2.0
224,insert,1917,-1,524,-2.0
225,insert,1792,-1,525,-2.0
226,insert,291,-1,526,-2.0
227,insert,834,-1,527,-2.0
228,insert,1375,-1,528,-2.0
229,insert,2167,-1,529,-2.0
230,insert,792,-1,530,-2.0
231,insert,292,-1,531,-2.0
232,insert,1459,-1,532,-2.0
233,insert,1292,-1,533,-2.0
234,insert,1292,-1,534,-2.0
235,insert,1459,-1,535,-2.0
236,insert,959,-1,536,-2.0
237,insert,791,-1,537,-2.0
238,insert,667,-1,538,-2.0
239,insert,1292,-1,539,-2.0
240,insert,1000,-1,540,-2.0
241,insert,209,-1,541,-2.0
242,insert,1875,-1,542,-2.0
243,insert,625,-1,543,-2.0
244,insert,875,-1,544,-2.0
245,insert,1041,-1,545,-2.0
246,insert,1250,-1,546,-2.0
247,insert,1250,-1,547,-2.0
248,insert,834,-1,548,-2.0
249,insert,500,-1,549,-2.0
250,insert,917,-1,550,-2.0
251,insert,1208,-1,551,-2.0
252,insert,541,-1,552,-2.0
253,insert,292,-1,553,-2.0
254,insert,750,-1,554,-2.0
255,insert,1500,-1,555,-2.0
256,insert,1875,-1,556,-2.0
257,insert,1333,-1,557,-2.0
258,insert,1458,-1,558,-2.0
259,insert,958,-1,559,-2.0
260,insert,750,-1,560,-2.0
261,insert,625,-1,561,-2.0
262,insert,583,-1,562,-2.0
263,insert,834,-1,563,-2.0
264,insert,834,-1,564,-2.0
265,insert,1125,-1,565,-2.0
266,insert,1709,-1,566,-2.0
267,insert,1125,-1,567,-2.0
268,insert,708,-1,568,-2.0
269,insert,1042,-1,569,-2.0
270,insert,750,-1,570,-2.0
271,insert,958,-1,571,-2.0
272,insert,958,-1,572,-2.0
273,insert,1042,-1,573,-2.0
274,insert,708,-1,574,-2.0
275,insert,1000,-1,575,-2.0
276,insert,708,-1,576,-2.0
277,insert,1208,-1,577,-2.0
278,insert,1667,-1,578,-2.0
279,insert,708,-1,579,-2.0
280,insert,1500,-1,580,-2.0
281,insert,709,-1,581,-2.0
282,insert,500,-1,582,-2.0
283,insert,1667,-1,583,-2.0
284,insert,750,-1,584,-2.0
285,insert,2041,-1,585,-2.0
286,insert,1042,-1,586,-2.0
287,insert,1042,-1,587,-2.0
288,insert,791,-1,588,-2.0
289,insert,708,-1,589,-2.0
290,insert,375,-1,590,-2.0
291,insert,292,-1,591,-2.0
292,insert,292,-1,592,-2.0
293,insert,1833,-1,593,-2.0
294,insert,1167,-1,594,-2.0
295,insert,1417,-1,595,-2.0
296,insert,2042,-1,596,-2.0
297,insert,1708,-1,597,-2.0
298,insert,792,-1,598,-2.0
299,insert,875,-1,599,-2.0
300,insert,958,346542,600,1.0
301,insert,791,-1,601,-2.0
302,insert,833,-1,602,-2.0
303,insert,1917,-1,603,-2.0
304,insert,1334,-1,604,-2.0
305,insert,750,-1,605,-2.0
306,insert,1209,-1,606,-2.0
307,insert,375,-1,607,-2.0
308,insert,791,-1,608,-2.0
309,insert,917,-1,609,-2.0
310,insert,1125,-1,610,-2.0
311,insert,1083,-1,611,-2.0
312,insert,833,-1,612,-2.0
313,insert,625,-1,613,-2.0
314,insert,875,-1,614,-2.0
315,insert,958,-1,615,-2.0
316,insert,833,-1,616,-2.0
317,insert,1333,-1,617,-2.0
318,insert,833,-1,618,-2.0
319,insert,292,-1,619,-2.0
320,insert,958,-1,620,-2.0
321,insert,875,-1,621,-2.0
322,insert,1833,-1,622,-2.0
323,insert,667,-1,623,-2.0
324,insert,708,-1,624,-2.0
325,insert,1584,-1,625,-2.0
326,insert,750,-1,626,-2.0
327,insert,1541,-1,627,-2.0
328,insert,750,-1,628,-2.0
329,insert,792,-1,629,-2.0
330,insert,1333,-1,630,-2.0
331,insert,1250,-1,631,-2.0
332,insert,875,-1,632,-2.0
333,insert,708,-1,633,-2.0
334,insert,792,-1,634,-2.0
335,insert,958,-1,635,-2.0
336,insert,875,-1,636,-2.0
337,insert,1500,-1,637,-2.0
338,insert,917,-1,638,-2.0
339,insert,792,-1,639,-2.0
340,insert,1542,-1,640,-2.0
341,insert,834,-1,641,-2.0
342,insert,1208,-1,642,-2.0
343,insert,709,-1,643,-2.0
344,insert,1125,-1,644,-2.0
345,insert,1750,-1,645,-2.0
346,insert,1041,-1,646,-2.0
347,insert,1042,-1,647,-2.0
348,insert,1292,-1,648,-2.0
349,insert,417,-1,649,-2.0
350,insert,1083,-1,650,-2.0
351,insert,792,-1,651,-2.0
352,insert,750,-1,652,-2.0
353,insert,1666,-1,653,-2.0
354,insert,1042,-1,654,-2.0
355,insert,1166,-1,655,-2.0
356,insert,709,-1,656,-2.0
357,insert,791,-1,657,-2.0
358,insert,1209,-1,658,-2.0
359,insert,833,-1,659,-2.0
360,insert,1125,-1,660,-2.0
361,insert,1417,-1,661,-2.0
362,insert,1834,-1,662,-2.0
363,insert,1250,-1,663,-2.0
364,insert,1375,-1,664,-2.0
365,insert,1375,-1,665,-2.0
366,insert,1792,-1,666,-2.0
367,insert,625,-1,667,-2.0
368,insert,1000,-1,668,-2.0
369,insert,875,-1,669,-2.0
370,insert,833,-1,670,-2.0
371,insert,1709,-1,671,-2.0
372,insert,1417,-1,672,-2.0
373,insert,458,-1,673,-2.0
374,insert,1792,-1,674,-2.0
375,insert,2125,-1,675,-2.0
376,insert,1208,-1,676,-2.0
377,insert,792,-1,677,-2.0
378,insert,1500,-1,678,-2.0
379,insert,1084,-1,679,-2.0
380,insert,1375,-1,680,-2.0
381,insert,1500,-1,681,-2.0
382,insert,709,-1,682,-2.0
383,insert,875,-1,683,-2.0
384,insert,1042,-1,684,-2.0
385,insert,1000,-1,685,-2.0
386,insert,1042,-1,686,-2.0
387,insert,1000,-1,687,-2.0
388,insert,1083,-1,688,-2.0
389,insert,1333,-1,689,-2.0
390,insert,1083,-1,690,-2.0
