candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.87635162817058831,0,0,1500,4481,1569,35.014505690694044,39,850,56.666666666666664,54,3.6000000000000001,0.51876822911503395,-0.10055546108325897,0.01225,1,0,0,2.1999999999999997,15,-0.088305461083258971
1,0.90278094898599259,0,0,1500,4481,1681,37.513947779513501,44,625,41.666666666666664,87,5.7999999999999998,0.64213060552172185,0.072376420034997002,0.01001,1,0,2.1999999999999997,0.73333333333333328,17.666666666666668,0.082386420034997007
2,0.92516852101823888,0,1,1500,4481,1793,40.013389868332965,49,360,24,98,6.5333333333333332,0.77739129309300625,0.23990721891376346,0.0084799999999999997,1,0,0.73333333333333328,4.9333333333333336,7.4666666666666677,0.24838721891376345
3,0.95159214828743344,0,1,1500,4481,1905,42.512831957152422,41,248,16.533333333333335,172,11.466666666666667,0.80958549006882985,0.35712040688547753,0.0050299999999999997,1,0,4.9333333333333336,3.8666666666666667,6.3333333333333339,0.3621504068854775
4,0.9754898100108903,0,1,1500,4481,2017,45.012274045971878,23,153,10.199999999999999,230,15.333333333333334,0.8355016435996363,0.54504513956363376,0.0048400000000000006,1,0,3.8666666666666667,15.533333333333331,5.0666666666666664,0.54988513956363372
5,0.99416169275195398,0,1,1500,4481,2129,47.511716134791342,10,77,5.1333333333333337,463,30.866666666666667,0.68634736756955161,0.64092520654256924,-0.0083399999999999967,1,0,15.533333333333331,33.600000000000001,2,0.63258520654256922
6,1.0050227205125983,0,1,1500,4481,2241,50.011158223610799,3,47,3.1333333333333333,967,64.466666666666669,0.62634338949337565,0.63552837116800276,-0.032600000000000004,2,-0.5,33.600000000000001,0.73333333333333328,1.4666666666666666,0.6029283711680028
7,1.0253145824435743,0,1,1500,4481,2353,52.510600312430263,3,25,1.6666666666666667,978,65.200000000000003,0.62351276409622147,0.64198598561233211,-0.032740000000000005,2,0.5,0.73333333333333328,0.53333333333333333,0.53333333333333333,0.60924598561233212
8,1.0451282575748768,0,1,1500,4481,2465,55.01004240124972,2,17,1.1333333333333333,986,65.733333333333334,0.9259134302655152,0.78594535932903808,0.019210000000000001,9,-4,0.53333333333333333,0.59999999999999998,0.59999999999999998,0.80515535932903803
9,1.0650640670695593,0,1,1500,4481,2577,57.509484490069184,2,8,0.53333333333333333,995,66.333333333333329,0.92084969152099094,0.78522125076845461,0.0218,9,-3,0.59999999999999998,0,0.13333333333333333,0.80702125076845466
10,1.0893210244241529,0,1,1500,4481,2689,60.008926578888641,2,6,0.40000000000000002,995,66.333333333333329,0.92104709256361084,0.78635700780003814,0.024290000000000003,9,-2,0,0.066666666666666666,0.066666666666666666,0.81064700780003818
11,1.1150484067706696,0,1,1500,4481,2801,62.508368667708098,2,5,0.33333333333333331,996,66.400000000000006,0.92047960876323132,0.78626618846990537,0.027459999999999998,9,-1,0.066666666666666666,0.26666666666666666,0.26666666666666666,0.81372618846990541
12,1.1415547945885671,0,1,1500,4481,2913,65.007810756527562,2,1,0.066666666666666666,1000,66.666666666666671,0.91820002664273448,0.78588220139439813,0.029679999999999998,9,0,0.26666666666666666,0,0,0.81556220139439817
13,1.170742939011082,0,1,1500,4481,3025,67.507252845347026,2,1,0.066666666666666666,1000,66.666666666666671,0.91820002664273448,0.78588220139439813,0.027179999999999999,9,1,0,0,0,0.81306220139439811
14,1.2011154144722671,0,1,1500,4481,3137,70.006694934166475,2,1,0.066666666666666666,1000,66.666666666666671,0.91820002664273448,0.78588220139439813,0.02497874946213428,9,2,0,0,0.066666666666666666,0.81086095085653243
15,1.2265163225844598,1,1,1500,4481,3249,72.506137022985939,2,0,0,1000,66.666666666666671,0.91829583405448967,0.78644906732184572,0.022041818826664228,9,3,0,0,0,0.80849088614850995
16,1.2605995162621504,0,1,1500,4481,3361,75.005579111805403,2,0,0,1000,66.666666666666671,0.91829583405448967,0.78644906732184572,0.018574330133065489,9,4,0,0,0,0.80502339745491125
