candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.86895395327593627,0,0,1200,3574,1251,35.002797985450478,29,776,64.666666666666671,24,2,0.45927109510955572,-0.16353632544826927,0.011962500000000001,1,0,0,0.66666666666666674,13.083333333333332,-0.15157382544826925
1,0.88991232787857033,0,0,1200,3574,1340,37.493005036373809,36,619,51.583333333333336,32,2.6666666666666665,0.57562458923714943,-0.016809983994228717,0.0116875,1,0,0.66666666666666674,1.4166666666666665,16.583333333333332,-0.0051224839942287173
2,0.9110228617991416,0,1,1200,3574,1430,40.011191941801904,44,420,35,49,4.083333333333333,0.707753608453904,0.13861437030165732,0.007837499999999999,2,-0.5,1.4166666666666665,2,13.583333333333334,0.14645187030165732
3,0.93739604617321748,0,1,1200,3574,1519,42.501398992725235,44,257,21.416666666666668,73,6.083333333333333,0.80466240604249595,0.2821591161243312,0.0066250000000000007,2,0.5,2,1.1666666666666667,10.166666666666666,0.28878411612433119
4,0.9597147331854744,0,1,1200,3574,1608,44.991606043648574,39,135,11.25,87,7.25,0.86535878114841547,0.41856014881576908,0.0081625000000000014,1,0,1.1666666666666667,2.666666666666667,3.75,0.4267226488157691
5,0.98728032790288822,0,1,1200,3574,1698,47.509792949076662,31,90,7.5,119,9.9166666666666661,0.86886535884525606,0.5071445943115227,0.006937500000000001,1,0,2.666666666666667,8.5,0.91666666666666663,0.51408209431152274
6,1.0026649037579376,0,1,1200,3574,1787,50,22,79,6.583333333333333,221,18.416666666666668,0.81328411944870227,0.5604336274868652,4.9999999999999697e-05,1,0,8.5,24.583333333333332,1.6666666666666667,0.5604836274868652
7,1.0227365920549665,0,1,1200,3574,1876,52.490207050923338,16,59,4.916666666666667,516,43,0.67574034524561599,0.51814904004143669,-0.018924999999999997,1,0,24.583333333333332,3.3333333333333335,3.833333333333333,0.49922404004143672
8,1.0467979991621512,1,1,1200,3574,1966,55.008393956351426,10,13,1.0833333333333333,556,46.333333333333336,0.68371959111199865,0.61415369263834396,-0.019412499999999999,1,0,3.3333333333333335,43.5,0.58333333333333337,0.59474119263834391
9,1.0736052102815599,0,1,1200,3574,2055,57.498601007274765,4,6,0.5,1078,89.833333333333329,0.29441568729130263,0.24034411376317322,-0.042199999999999994,1,0,43.5,2,0,0.19814411376317323
10,1.0959228384411197,0,1,1200,3574,2144,59.988808058198096,3,6,0.5,1102,91.833333333333329,0.28383955964919677,0.23486425574719222,-0.042124999999999996,1,0,2,6.75,0.5,0.19273925574719222
11,1.1231651328394456,0,1,1200,3574,2234,62.506994963626191,2,0,0,1183,98.583333333333329,0.10729526198152631,0.095586941301108702,-0.0030999999999999995,3,-1,6.75,0,0,0.092486941301108697
12,1.1587246950358676,0,1,1200,3574,2323,64.997202014549529,2,0,0,1183,98.583333333333329,0.10729526198152631,0.095586941301108702,0.0068999999999999999,3,0,0,0,0,0.10248694130110871
13,1.1881062770320119,0,1,1200,3574,2412,67.48740906547286,2,0,0,1183,98.583333333333329,0.10729526198152631,0.095586941301108702,0.0050000000000000001,3,1,0,1.4166666666666665,0,0.10058694130110871
14,1.2222323071163705,0,0,1200,3574,2502,70.005595970900956,1,0,0,1200,100,0,-1.4180783239261856,0.0032687496242213162,3,-1,1.4166666666666665,0,0,-1.4148095743019642
15,1.2582154601625519,0,0,1200,3574,2591,72.495803021824287,1,0,0,1200,100,0,-1.4180783239261856,0.012842439107315032,3,0,0,0,0,-1.4052358848188706
16,1.3021481262285002,0,0,1200,3574,2680,74.986010072747618,1,0,0,1200,100,0,-1.4180783239261856,0.0035766764426535106,3,1,0,0,0,-1.4145016474835321
